key,en,es
TUTORIAL_MSG10,Let’s talk about the controls. You will be able to move with the WASD or the\ndirectional arrows.Use the mouse to make the character\nchange the direction it is looking at.\nIt will aim to that position and attack automatically,"Ahora veamos el movimiento, con WASD o las flechas direccionales podrás moverte,\nusa el ratón para que el personaje mire en esa dirección,\nverás que ataca automaticamente."
TUTORIAL_MSG11,"Look! An enemy! Try to aim and defeat them\nThe bullet will follow the cursor, so, with certains weapons,\n you will see that the further you aim, the distance the bullet reach is longer","¡Apareció un enemigo, Apunta bien y acaba con él!\nLa bala siguen el ratón, si lo alejas verás que llegan lejos"
TUTORIAL_MSG12,"The enemies will drop experience. There are 4 types of enemys,\nand as such, there are 4 types of experience.\nEach one is has a figure and a color related to them.\nIn this case, the enemy was a cube type, so it dropped a cube experience.\nTry to pick it up!","Los enemigos sueltan experiencia, hay 4 tipos de enemigos\ncaracterizados por una forma y un color concreto,\neste enemigo soltó la experiencia del 'cubo', intenta cogerla"
TUTORIAL_MSG13,Well done! You got an experience point!\nLet’s see it use,"Bien hecho! conseguiste un punto de experiencia,\n¡veamos para que sirve!"
TUTORIAL_MSG14,"The player is made by 5 different body parts:\nhead, body, left arm, right arm and legs","El jugador se compone de 5 partes del cuerpo:\ncabeza, cuerpo, brazo izquierdo, brazo derecho y piernas."
TUTORIAL_MSG15,"Each body part can be leveled independently from each other.\nAt the start of the game, and each time the player levels up,\n a menu will apear with 3 random body parts to chose and start SHAPING UP.\nTry to make the best build for you!","Cada parte del cuerpo puede subir de nivel de manera independiente del resto.\nAl inicio del juego y cada vez que subamos un nivel nos aparecerá un menú\nmostrando 3 partes aleatorias, podrás ver las estadísticas y niveles de\ncada parte del cuerpo. ¡Elige la que te apetezca!"
TUTORIAL_MSG16,"Good! Now that we are SHAPING UP the selected body part,\n let’s pick some experience!","Bien! Ahora estás mejorando la parte del cuerpo seleccionada,\n¡cojamos algo de experiencia!"
TUTORIAL_MSG17,Nice!,¡Bien hecho!
TUTORIAL_MSG18,Now we will see the experience bars,Veamos ahora las barras de experiencia.
TUTORIAL_MSG19,These bars represent the progress of the current upgrade.\nYou will need to fill any of the 5 bars to level up.\nOnce you do it you will upgrade your previously selected body part to the figure\nthe filled bar represent,"Estas son las barras de la mejora actual,\nnecesitarás llenar de experiencia cualquiera de las 5 barras,\ncuando lo hagas mejorarás esa parte del cuerpo a la figura\ncorrespondiente al color de la barra llenada"
TUTORIAL_MSG20,"Each bar will fill with it’s respective colors,\nthe bigger bar will fill with every type of experience, and if it fills before the rest\nthe new figure will be an AMEBA instead.","Cada barra se llenará de su color,\nla barra grande se llenará de todos los colores,\nsi esta es la barra que llenas primero obtendrás una 'mejora' al estado ameba."
TUTORIAL_MSG21,The ameba state is the one you start with.\nIt’s not fast nor strong (and it’s aspect it’s kind of depressing tbh).\nSo you should evade it at all cost.,"El estado ameba es el que tienes ahora mismo,\nno es rápido ni fuerte y su aspecto es algo deprimente,\nasí que deberás evitarlo a toda costa."
TUTORIAL_MSG22,"To evade it, it’s recommended to think a little before picking\nevery single piece of experience you see on the ground.","Para evitarlo lo recomendable es centrarse en un solo tipo de experiencia,\nevitando así que la 'barra de ameba' incremente demasiado, Sin embargo…"
TUTORIAL_MSG23,"These bars represent your current level on each figure,\nyou will see how it goes up as you SHAPE UP your body","Esta es tu barra de nivel, como puedes ver incrementa también\ncon la experiencia que obtienes y muestra unos números."
TUTORIAL_MSG24,These numbers represent the level of each figure in the part you are SHAPING UP\nand only the one active at the moment will have impact on the game,Esos números son tu nivel de poder de cada figura\ny son independientes en cada parte del cuerpo.
TUTORIAL_MSG25,"Thus, the more experience you get, the better level and the stronger\nyour character will get.\nBut get greedy and you will stay at the ameba state (wich is not really a good thing)","Por tanto, cuanta más experiencia obtengas,\nmás nivel tendrás y más fuerte será tu personaje,\nPero si eres muy avaricioso te mantendrás en estado ameba y caerás con facilidad."
TUTORIAL_MSG26,"Each figure has their ups and downs so, it’s up to you\nto find your favourite way to play.","Cada figura tiene sus fortalezas y debilidades,\nintenta encontrar tu forma favorita de jugar\ny no te olvides de lo más importante, pasarlo bien :D."
TUTORIAL_MSG27,"And with that, you have finished this tutorial.\nGood Luck!","Fin del tutorial, mucha suerte ^^"
